col_name,0
blue_3,2877.1122584374953
green_3,3029.7030255791638
red_3,2207.5803496092585
nir_3,6918.701488705416
nirb_3,6000.082666581907
re1_3,9879.068953878086
re2_3,4423.213845162343
re3_3,4147.556775557585
swir1_3,2810.3163938926473
swir2_3,1617.428957947295
EVI,1172.649987344099
SAVI,5325.659514206334
GNDVI,3347.2809183151235
ARVI,758.2643336362756
CHLRE,7023.1098071947945
MCARI,11857.070448023722
NDII,2741.3026640354683
MIRNIR,1844.3312417242064
MNDVI,5862.523814471397
NDVI,1173.791863750885
VHMean_May,3410.8770279096025
VVMean_May,1651.2285897559425
VVVH,3234.044074698606
slope,2664.1087878943654
TWI,1949.4866001878272
Braunerde,1684.462687363907
Erdniedermoor,4556.136021708113
Fahlerde,1538.968654697308
Mulmniedermoor,1349.3130859704233
Parabraunerde,3408.5035047364277
Pseudogley,1209.0319440079656
Rendzina,2096.4682390513826
